<c>,PC,PD,F
0.92975,2409.0,1.0,1590.0
0.917,1878.0,1.0,2121.0
0.93425,1802.0,1.0,2197.0
1.0,4000.0,0.0,0.0
0.9015,1294.0,0.0,2706.0
0.92375,1891.0,1.0,2108.0
0.88825,1567.0,2.0,2431.0
0.7765,337.0,3.0,3660.0
0.6195,158.0,3.0,3839.0
0.6865,252.0,4.0,3744.0
0.567,208.0,7.0,3785.0
0.47775,50.0,12.0,3938.0
0.51875,126.0,8.0,3866.0
0.495,88.0,13.0,3899.0
0.408,66.0,7.0,3927.0
0.44225,107.0,13.0,3880.0
0.32725,42.0,52.0,3906.0
0.3285,97.0,18.0,3885.0
0.272,34.0,90.0,3876.0
0.22175,25.0,121.0,3854.0
0.24625,72.0,185.0,3743.0
0.1655,20.0,801.0,3179.0
0.16875,29.0,621.0,3350.0
0.2105,61.0,235.0,3704.0
0.17475,41.0,566.0,3393.0
0.14575,30.0,607.0,3363.0
0.12375,29.0,592.0,3379.0
0.11775,34.0,810.0,3156.0
0.162,39.0,614.0,3347.0
0.136,39.0,680.0,3281.0
0.11175,31.0,1385.0,2584.0
0.118,32.0,1400.0,2568.0
0.11125,30.0,1320.0,2650.0
0.11375,28.0,1444.0,2528.0
0.08925,25.0,1567.0,2408.0
0.0725,22.0,1809.0,2169.0
0.067,10.0,2404.0,1586.0
0.11225,26.0,1772.0,2202.0
0.09675,19.0,1884.0,2097.0
0.07375,26.0,1844.0,2130.0
0.0395,10.0,2886.0,1104.0
0.08025,8.0,2349.0,1643.0
0.07,24.0,2111.0,1865.0
0.0765,21.0,2266.0,1713.0
0.064,10.0,2842.0,1148.0
0.0625,15.0,2491.0,1494.0
0.079,17.0,2390.0,1593.0
0.0455,9.0,2947.0,1044.0
