<c>,PC,PD,F
0.963,2342.0,5.0,1653.0
0.789,925.0,0.0,3075.0
0.99525,3623.0,1.0,376.0
0.8895,1089.0,1.0,2910.0
0.819,693.0,1.0,3306.0
0.66925,358.0,0.0,3642.0
0.78175,182.0,4.0,3814.0
0.83225,961.0,2.0,3037.0
0.64725,115.0,3.0,3882.0
0.7425,232.0,3.0,3765.0
0.536,146.0,6.0,3848.0
0.50275,227.0,5.0,3768.0
0.5225,276.0,1.0,3723.0
0.45825,165.0,7.0,3828.0
0.3795,70.0,27.0,3903.0
0.37025,38.0,50.0,3912.0
0.4495,146.0,13.0,3841.0
0.31275,60.0,48.0,3892.0
0.24575,57.0,42.0,3901.0
0.2225,39.0,207.0,3754.0
0.139,31.0,641.0,3328.0
0.1495,31.0,454.0,3515.0
0.151,26.0,363.0,3611.0
0.13125,32.0,597.0,3371.0
0.13575,32.0,620.0,3348.0
0.135,32.0,912.0,3056.0
0.1635,45.0,575.0,3380.0
0.104,25.0,1299.0,2676.0
0.14925,39.0,916.0,3045.0
0.1075,21.0,865.0,3114.0
0.093,15.0,1424.0,2561.0
0.0855,17.0,1813.0,2170.0
0.07525,20.0,1687.0,2293.0
0.08625,19.0,1815.0,2166.0
0.05225,8.0,2744.0,1248.0
0.082,19.0,1656.0,2325.0
0.09125,18.0,1784.0,2198.0
0.0545,9.0,2304.0,1687.0
0.055,16.0,2540.0,1444.0
0.091,14.0,2190.0,1796.0
0.069,12.0,2467.0,1521.0
0.06975,16.0,2385.0,1599.0
0.06325,14.0,2622.0,1364.0
0.0575,12.0,2628.0,1360.0
0.05975,11.0,2717.0,1272.0
0.067,15.0,2479.0,1506.0
0.05775,10.0,2568.0,1422.0
0.06,15.0,2762.0,1223.0
