<c>,PC,PD,F
0.83725,505.0,1.0,3494.0
0.74625,338.0,1.0,3661.0
0.62225,140.0,4.0,3856.0
0.7445,169.0,2.0,3829.0
0.65625,90.0,3.0,3907.0
0.49075,98.0,7.0,3895.0
0.508,60.0,5.0,3935.0
0.3515,25.0,3.0,3972.0
0.34425,44.0,7.0,3949.0
0.5115,40.0,6.0,3954.0
0.34775,51.0,28.0,3921.0
0.3535,58.0,16.0,3926.0
0.143,17.0,82.0,3901.0
0.20025,24.0,51.0,3925.0
0.202,24.0,138.0,3838.0
0.16175,17.0,184.0,3799.0
0.10875,23.0,482.0,3495.0
0.08875,11.0,600.0,3389.0
0.07825,14.0,487.0,3499.0
0.08325,4.0,683.0,3313.0
0.09575,14.0,1521.0,2465.0
0.06775,3.0,1828.0,2169.0
0.06175,8.0,1230.0,2762.0
0.059,6.0,2265.0,1729.0
0.06125,9.0,2282.0,1709.0
0.0555,10.0,1843.0,2147.0
0.03,5.0,2527.0,1468.0
0.082,11.0,1868.0,2121.0
0.04575,8.0,2849.0,1143.0
0.0325,4.0,3149.0,847.0
0.02325,4.0,3296.0,700.0
0.02425,2.0,3448.0,550.0
0.01875,2.0,2960.0,1038.0
0.01175,3.0,3479.0,518.0
0.02375,2.0,3580.0,418.0
0.02575,3.0,3477.0,520.0
0.0255,3.0,3460.0,537.0
0.01525,3.0,3634.0,363.0
0.02525,0.0,3500.0,500.0
0.0285,3.0,3503.0,494.0
0.0175,2.0,3588.0,410.0
0.011,1.0,3787.0,212.0
0.0145,1.0,3773.0,226.0
0.0145,1.0,3208.0,791.0
0.0105,1.0,3797.0,202.0
0.011,1.0,3803.0,196.0
0.0145,1.0,3690.0,309.0
0.01525,1.0,3714.0,285.0
