<c>,PC,PD,F
0.744,230.0,1.0,3769.0
0.66375,146.0,8.0,3846.0
0.659,60.0,7.0,3933.0
0.63425,69.0,7.0,3924.0
0.58275,40.0,12.0,3948.0
0.41775,25.0,17.0,3958.0
0.332,24.0,17.0,3959.0
0.40425,26.0,24.0,3950.0
0.436,30.0,15.0,3955.0
0.23575,15.0,40.0,3945.0
0.1505,20.0,192.0,3788.0
0.17925,20.0,112.0,3868.0
0.149,15.0,130.0,3855.0
0.187,18.0,59.0,3923.0
0.22475,18.0,85.0,3897.0
0.09475,15.0,416.0,3569.0
0.11075,9.0,355.0,3636.0
0.0685,4.0,444.0,3552.0
0.11725,16.0,403.0,3581.0
0.07725,8.0,1176.0,2816.0
0.05775,15.0,1350.0,2635.0
0.06775,14.0,1308.0,2678.0
0.03775,7.0,2645.0,1348.0
0.04075,9.0,2197.0,1794.0
0.03675,10.0,2066.0,1924.0
0.04125,11.0,2225.0,1764.0
0.03425,7.0,2816.0,1177.0
0.05075,8.0,2323.0,1669.0
0.09525,21.0,1436.0,2543.0
0.03825,7.0,2654.0,1339.0
0.023,5.0,3424.0,571.0
0.0225,5.0,3506.0,489.0
0.02375,5.0,3525.0,470.0
0.0255,9.0,3253.0,738.0
0.018,5.0,3522.0,473.0
0.01325,4.0,3543.0,453.0
0.02525,5.0,3455.0,540.0
0.02075,4.0,3535.0,461.0
0.03275,8.0,3273.0,719.0
0.021,4.0,3538.0,458.0
0.01275,2.0,3709.0,289.0
0.012,2.0,3686.0,312.0
0.01775,4.0,3605.0,391.0
0.0135,4.0,3674.0,322.0
0.01525,2.0,3684.0,314.0
0.0165,1.0,3760.0,239.0
0.016,4.0,3686.0,310.0
0.014,4.0,3686.0,310.0
