<c>,PC,PD,F
0.89975,1381.0,4.0,2615.0
0.84825,1291.0,2.0,2707.0
0.84325,960.0,2.0,3038.0
0.8685,895.0,4.0,3101.0
0.8185,419.0,2.0,3579.0
0.757,341.0,6.0,3653.0
0.6075,190.0,6.0,3804.0
0.66925,182.0,9.0,3809.0
0.583,186.0,2.0,3812.0
0.54775,162.0,5.0,3833.0
0.3655,84.0,25.0,3891.0
0.37975,95.0,38.0,3867.0
0.30025,110.0,39.0,3851.0
0.32675,72.0,14.0,3914.0
0.3,80.0,41.0,3879.0
0.24675,54.0,107.0,3839.0
0.30625,70.0,42.0,3888.0
0.218,32.0,214.0,3754.0
0.2635,18.0,164.0,3818.0
0.203,56.0,54.0,3890.0
0.1205,35.0,681.0,3284.0
0.1145,35.0,853.0,3112.0
0.0745,21.0,1175.0,2804.0
0.123,33.0,543.0,3424.0
0.084,24.0,981.0,2995.0
0.144,39.0,802.0,3159.0
0.096,25.0,837.0,3138.0
0.1125,26.0,1115.0,2859.0
0.1095,32.0,1109.0,2859.0
0.0685,20.0,1482.0,2498.0
0.055,18.0,2141.0,1841.0
0.04425,8.0,2737.0,1255.0
0.04325,6.0,2517.0,1477.0
0.05475,7.0,2735.0,1258.0
0.048,7.0,2470.0,1523.0
0.05525,12.0,2178.0,1810.0
0.051,12.0,2323.0,1665.0
0.0465,12.0,2410.0,1578.0
0.04475,15.0,2805.0,1180.0
0.0325,7.0,2842.0,1151.0
0.037,6.0,3212.0,782.0
0.043,8.0,2868.0,1124.0
0.0465,9.0,2868.0,1123.0
0.03275,2.0,3185.0,813.0
0.032,6.0,3037.0,957.0
0.0315,7.0,3152.0,841.0
0.03,4.0,3188.0,808.0
0.0565,12.0,2776.0,1212.0
