<c>,PC,PD,F
0.84725,943.0,104.0,2953.0
0.6815,280.0,94.0,3626.0
0.688,258.0,95.0,3647.0
0.6775,261.0,104.0,3635.0
0.5395,113.0,99.0,3788.0
0.4525,88.0,108.0,3804.0
0.3875,90.0,122.0,3788.0
0.37175,33.0,146.0,3821.0
0.44075,43.0,121.0,3836.0
0.4595,63.0,127.0,3810.0
0.2495,30.0,304.0,3666.0
0.16,24.0,441.0,3535.0
0.19225,23.0,383.0,3594.0
0.1675,35.0,450.0,3515.0
0.1195,14.0,577.0,3409.0
0.13175,14.0,761.0,3225.0
0.16325,32.0,532.0,3436.0
0.16175,39.0,731.0,3230.0
0.111,12.0,902.0,3086.0
0.09725,12.0,822.0,3166.0
0.03625,8.0,1929.0,2063.0
0.04675,11.0,2207.0,1782.0
0.04675,9.0,2187.0,1804.0
0.05875,12.0,2389.0,1599.0
