<c>,PC,PD,F
0.801,926.0,73.0,3001.0
0.6585,314.0,77.0,3609.0
0.8045,439.0,67.0,3494.0
0.6865,207.0,83.0,3710.0
0.76375,332.0,72.0,3596.0
0.4655,77.0,87.0,3836.0
0.5355,120.0,88.0,3792.0
0.44625,76.0,93.0,3831.0
0.51175,76.0,89.0,3835.0
0.424,48.0,91.0,3861.0
0.25375,42.0,257.0,3701.0
0.23325,31.0,331.0,3638.0
0.2405,35.0,339.0,3626.0
0.21875,19.0,421.0,3560.0
0.1375,19.0,494.0,3487.0
0.119,10.0,611.0,3379.0
0.1445,9.0,665.0,3326.0
0.127,14.0,870.0,3116.0
0.15175,9.0,638.0,3353.0
0.11725,7.0,800.0,3193.0
0.0715,14.0,1779.0,2207.0
0.04875,6.0,1864.0,2130.0
0.05275,13.0,1310.0,2677.0
0.06,6.0,2210.0,1784.0
