<c>,PC,PD,F
0.94575,2528.0,82.0,1390.0
0.8825,1410.0,59.0,2531.0
0.83025,595.0,65.0,3340.0
0.81975,424.0,63.0,3513.0
0.70325,256.0,74.0,3670.0
0.62075,171.0,68.0,3761.0
0.658,229.0,73.0,3698.0
0.50825,112.0,76.0,3812.0
0.5075,119.0,75.0,3806.0
0.441,53.0,87.0,3860.0
0.22825,65.0,297.0,3638.0
0.264,69.0,214.0,3717.0
0.27,57.0,227.0,3716.0
0.27775,63.0,276.0,3661.0
0.2085,43.0,448.0,3509.0
0.2095,44.0,503.0,3453.0
0.17125,31.0,559.0,3410.0
0.18925,39.0,441.0,3520.0
0.17825,40.0,600.0,3360.0
0.1465,29.0,740.0,3231.0
0.11875,23.0,1146.0,2831.0
0.1115,32.0,1058.0,2910.0
0.14175,31.0,1156.0,2813.0
0.141,34.0,1081.0,2885.0
