<c>,PC,PD,F
0.94375,2817.0,70.0,1113.0
0.87025,1396.0,57.0,2547.0
0.79625,684.0,66.0,3250.0
0.85125,831.0,54.0,3115.0
0.78775,714.0,54.0,3232.0
0.61725,247.0,62.0,3691.0
0.597,177.0,76.0,3747.0
0.529,147.0,59.0,3794.0
0.486,111.0,80.0,3809.0
0.54075,102.0,74.0,3824.0
0.26,63.0,243.0,3694.0
0.352,86.0,224.0,3690.0
0.2845,65.0,250.0,3685.0
0.309,66.0,287.0,3647.0
0.25425,63.0,301.0,3636.0
0.1755,30.0,531.0,3439.0
0.141,33.0,724.0,3243.0
0.15825,28.0,512.0,3460.0
0.16125,33.0,648.0,3319.0
0.123,22.0,788.0,3190.0
0.11375,24.0,1418.0,2558.0
0.0675,25.0,1767.0,2208.0
0.096,22.0,1786.0,2192.0
0.10125,28.0,1545.0,2427.0
