<c>,PC,PD,F
0.93425,2555.0,58.0,1387.0
0.874,1216.0,49.0,2735.0
0.86325,1383.0,56.0,2561.0
0.775,580.0,60.0,3360.0
0.683,233.0,57.0,3710.0
0.737,630.0,53.0,3317.0
0.565,198.0,60.0,3742.0
0.52925,160.0,66.0,3774.0
0.50975,147.0,67.0,3786.0
0.47375,118.0,85.0,3797.0
0.27575,53.0,305.0,3642.0
0.28875,101.0,189.0,3710.0
0.28975,85.0,287.0,3628.0
0.2635,78.0,304.0,3618.0
0.2185,36.0,328.0,3636.0
0.2335,45.0,382.0,3573.0
0.20875,46.0,396.0,3558.0
0.1515,30.0,649.0,3321.0
0.2015,47.0,482.0,3471.0
0.1675,28.0,590.0,3382.0
0.07625,24.0,1487.0,2489.0
0.11575,54.0,1076.0,2870.0
0.09225,22.0,1695.0,2283.0
0.122,26.0,1244.0,2730.0
