<c>,PC,PD,F
0.90725,2751.0,62.0,1187.0
0.82475,810.0,56.0,3134.0
0.87775,1079.0,64.0,2857.0
0.77875,561.0,64.0,3375.0
0.784,431.0,62.0,3507.0
0.6625,260.0,68.0,3672.0
0.625,228.0,66.0,3706.0
0.48425,101.0,67.0,3832.0
0.48675,74.0,69.0,3857.0
0.5125,91.0,74.0,3835.0
0.28975,52.0,240.0,3708.0
0.31,66.0,244.0,3690.0
0.27325,50.0,246.0,3704.0
0.17975,37.0,324.0,3639.0
0.21425,29.0,346.0,3625.0
0.1875,38.0,499.0,3463.0
0.11675,31.0,584.0,3385.0
0.1525,42.0,634.0,3324.0
0.158,29.0,926.0,3045.0
0.13125,33.0,626.0,3341.0
0.072,25.0,1891.0,2084.0
0.06925,16.0,1738.0,2246.0
0.0825,35.0,1908.0,2057.0
0.0865,30.0,1613.0,2357.0
