<c>,PC,PD,F
0.9455,2826.0,49.0,1125.0
0.8235,702.0,46.0,3252.0
0.775,436.0,54.0,3510.0
0.6975,358.0,54.0,3588.0
0.656,209.0,61.0,3730.0
0.55975,111.0,68.0,3821.0
0.45225,83.0,85.0,3832.0
0.4775,94.0,82.0,3824.0
0.41975,66.0,79.0,3855.0
0.40575,86.0,80.0,3834.0
0.21625,52.0,382.0,3566.0
0.273,76.0,275.0,3649.0
0.1975,42.0,350.0,3608.0
0.22075,49.0,494.0,3457.0
0.174,42.0,392.0,3566.0
0.176,34.0,680.0,3286.0
0.1605,33.0,407.0,3560.0
0.10375,24.0,919.0,3057.0
0.1815,58.0,443.0,3499.0
0.0945,26.0,1010.0,2964.0
0.10075,29.0,1509.0,2462.0
0.07175,18.0,2201.0,1781.0
0.07725,26.0,2067.0,1907.0
0.089,27.0,1931.0,2042.0
