<c>,PC,PD,F
0.81775,802.0,102.0,3096.0
0.81925,424.0,80.0,3496.0
0.7135,251.0,103.0,3646.0
0.75225,248.0,86.0,3666.0
0.64675,138.0,88.0,3774.0
0.54225,107.0,110.0,3783.0
0.50725,80.0,102.0,3818.0
0.4765,66.0,98.0,3836.0
0.40675,65.0,109.0,3826.0
0.39525,49.0,115.0,3836.0
0.22175,58.0,308.0,3634.0
0.278,60.0,305.0,3635.0
0.202,33.0,401.0,3566.0
0.2015,36.0,536.0,3428.0
0.177,26.0,509.0,3465.0
0.14825,23.0,625.0,3352.0
0.14425,27.0,619.0,3354.0
0.15075,31.0,666.0,3303.0
0.128,15.0,758.0,3227.0
0.10325,17.0,919.0,3064.0
0.06975,15.0,1672.0,2313.0
0.07925,17.0,1478.0,2505.0
0.05075,15.0,1929.0,2056.0
0.0505,7.0,2522.0,1471.0
