<c>,PC,PD,F
0.96375,3758.0,49.0,193.0
0.9825,3911.0,29.0,60.0
0.93,2738.0,29.0,1233.0
0.8885,2030.0,30.0,1940.0
0.826,563.0,45.0,3392.0
0.78775,600.0,42.0,3358.0
0.70425,365.0,43.0,3592.0
0.7265,377.0,40.0,3583.0
0.631,148.0,40.0,3812.0
0.45625,98.0,55.0,3847.0
0.33825,99.0,198.0,3703.0
0.3915,87.0,194.0,3719.0
0.25975,62.0,205.0,3733.0
0.291,73.0,237.0,3690.0
0.25525,68.0,277.0,3655.0
0.16675,63.0,334.0,3603.0
0.1685,55.0,494.0,3451.0
0.22675,43.0,408.0,3549.0
0.19875,49.0,448.0,3503.0
0.20875,55.0,479.0,3466.0
0.11825,49.0,1319.0,2632.0
0.1005,32.0,1294.0,2674.0
0.14075,36.0,1211.0,2753.0
0.12925,43.0,1168.0,2789.0
