<c>,PC,PD,F
0.96575,3477.0,68.0,455.0
0.9735,3858.0,48.0,94.0
0.91475,1891.0,51.0,2058.0
0.75425,591.0,60.0,3349.0
0.773,316.0,60.0,3624.0
0.6425,228.0,67.0,3705.0
0.65275,224.0,60.0,3716.0
0.6075,145.0,71.0,3784.0
0.60425,157.0,70.0,3773.0
0.40425,47.0,88.0,3865.0
0.27075,65.0,223.0,3712.0
0.27275,67.0,267.0,3666.0
0.2995,41.0,245.0,3714.0
0.2405,36.0,286.0,3678.0
0.26,66.0,349.0,3585.0
0.19825,54.0,488.0,3458.0
0.184,30.0,453.0,3517.0
0.16175,23.0,590.0,3387.0
0.15175,24.0,484.0,3492.0
0.148,16.0,663.0,3321.0
0.1405,29.0,1136.0,2835.0
0.08675,18.0,1472.0,2510.0
0.10575,20.0,1044.0,2936.0
0.0785,18.0,1378.0,2604.0
