<c>,PC,PD,F
0.82975,850.0,86.0,3064.0
0.77025,495.0,97.0,3408.0
0.643,264.0,113.0,3623.0
0.66,214.0,121.0,3665.0
0.61275,173.0,103.0,3724.0
0.547,115.0,112.0,3773.0
0.73825,514.0,59.0,3427.0
0.4465,75.0,122.0,3803.0
0.3635,60.0,131.0,3809.0
0.38375,63.0,130.0,3807.0
0.3415,84.0,240.0,3676.0
0.2915,81.0,239.0,3680.0
0.17475,33.0,478.0,3489.0
0.22975,52.0,452.0,3496.0
0.163,29.0,531.0,3440.0
0.18425,34.0,647.0,3319.0
0.13825,27.0,785.0,3188.0
0.12325,18.0,912.0,3070.0
0.14575,23.0,808.0,3169.0
0.15675,27.0,907.0,3066.0
0.089,25.0,1778.0,2197.0
0.1005,23.0,1749.0,2228.0
0.1045,16.0,1681.0,2303.0
0.08925,18.0,1802.0,2180.0
