<c>,PC,PD,F
0.82925,1230.0,87.0,2683.0
0.81225,1039.0,74.0,2887.0
0.77575,772.0,73.0,3155.0
0.7885,390.0,88.0,3522.0
0.64775,150.0,85.0,3765.0
0.6605,223.0,89.0,3688.0
0.4965,85.0,81.0,3834.0
0.479,99.0,86.0,3815.0
0.43875,99.0,91.0,3810.0
0.37825,53.0,122.0,3825.0
0.311,52.0,248.0,3700.0
0.2225,43.0,313.0,3644.0
0.2255,48.0,297.0,3655.0
0.22525,37.0,441.0,3522.0
0.189,44.0,419.0,3537.0
0.173,32.0,643.0,3325.0
0.2135,44.0,475.0,3481.0
0.103,26.0,568.0,3406.0
0.113,21.0,1080.0,2899.0
0.14175,18.0,673.0,3309.0
0.071,7.0,1937.0,2056.0
0.10975,31.0,1314.0,2655.0
0.0915,27.0,1748.0,2225.0
0.0705,13.0,1779.0,2208.0
