<c>,PC,PD,F
0.8705,1541.0,69.0,2390.0
0.835,962.0,68.0,2970.0
0.8185,737.0,72.0,3191.0
0.79325,617.0,71.0,3312.0
0.72,375.0,76.0,3549.0
0.6555,290.0,76.0,3634.0
0.5725,150.0,81.0,3769.0
0.48375,135.0,77.0,3788.0
0.56475,109.0,82.0,3809.0
0.48175,82.0,84.0,3834.0
0.242,47.0,306.0,3647.0
0.25975,59.0,352.0,3589.0
0.24475,67.0,305.0,3628.0
0.225,40.0,454.0,3506.0
0.194,32.0,499.0,3469.0
0.20275,43.0,549.0,3408.0
0.16175,35.0,543.0,3422.0
0.152,38.0,672.0,3290.0
0.1375,15.0,971.0,3014.0
0.1295,24.0,910.0,3066.0
0.09025,24.0,1600.0,2376.0
0.08925,26.0,1500.0,2474.0
0.05725,21.0,2333.0,1646.0
0.0695,18.0,2078.0,1904.0
