<c>,PC,PD,F
0.83575,1142.0,98.0,2760.0
0.75725,436.0,76.0,3488.0
0.665,487.0,58.0,3455.0
0.758,395.0,69.0,3536.0
0.73325,337.0,73.0,3590.0
0.555,100.0,71.0,3829.0
0.612,171.0,84.0,3745.0
0.50625,76.0,84.0,3840.0
0.4625,58.0,100.0,3842.0
0.4,55.0,87.0,3858.0
0.26225,58.0,255.0,3687.0
0.2265,74.0,271.0,3655.0
0.19025,21.0,378.0,3601.0
0.2525,54.0,288.0,3658.0
0.16775,45.0,388.0,3567.0
0.18575,26.0,655.0,3319.0
0.15925,32.0,480.0,3488.0
0.11175,21.0,761.0,3218.0
0.16525,33.0,594.0,3373.0
0.13775,20.0,980.0,3000.0
0.05925,21.0,2115.0,1864.0
0.1045,26.0,1468.0,2506.0
0.06775,17.0,2125.0,1858.0
0.07325,16.0,2039.0,1945.0
