<c>,PC,PD,F
0.939,2720.0,66.0,1214.0
0.9405,2721.0,54.0,1225.0
0.92425,2162.0,64.0,1774.0
0.7835,926.0,60.0,3014.0
0.84325,828.0,64.0,3108.0
0.78625,499.0,73.0,3428.0
0.58675,180.0,65.0,3755.0
0.54225,149.0,73.0,3778.0
0.50375,143.0,83.0,3774.0
0.42875,89.0,100.0,3811.0
0.348,110.0,226.0,3664.0
0.3005,98.0,176.0,3726.0
0.2935,79.0,231.0,3690.0
0.29575,64.0,252.0,3684.0
0.2655,66.0,299.0,3635.0
0.20375,49.0,465.0,3486.0
0.20275,57.0,418.0,3525.0
0.16575,38.0,556.0,3406.0
0.17175,36.0,405.0,3559.0
0.224,59.0,456.0,3485.0
0.10675,41.0,1328.0,2631.0
0.12575,36.0,1048.0,2916.0
0.12175,28.0,1123.0,2849.0
0.11125,35.0,1322.0,2643.0
