<c>,PC,PD,F
0.8225,773.0,92.0,3135.0
0.7955,503.0,95.0,3402.0
0.71025,276.0,91.0,3633.0
0.747,324.0,98.0,3578.0
0.5885,197.0,92.0,3711.0
0.53025,149.0,87.0,3764.0
0.49775,79.0,108.0,3813.0
0.50325,85.0,108.0,3807.0
0.43825,65.0,124.0,3811.0
0.41525,49.0,124.0,3827.0
0.27375,40.0,299.0,3661.0
0.28625,47.0,334.0,3619.0
0.17425,26.0,370.0,3604.0
0.2225,38.0,413.0,3549.0
0.2325,27.0,429.0,3544.0
0.1755,23.0,548.0,3429.0
0.168,22.0,666.0,3312.0
0.1085,14.0,743.0,3243.0
0.12925,14.0,574.0,3412.0
0.104,11.0,933.0,3056.0
0.1035,15.0,1227.0,2758.0
0.07575,11.0,1669.0,2320.0
0.0875,10.0,1215.0,2775.0
0.0765,13.0,2006.0,1981.0
