<c>,PC,PD,F
0.97875,3556.0,10.0,434.0
0.9925,3932.0,1.0,67.0
0.89725,428.0,6.0,3566.0
0.994,3942.0,1.0,57.0
0.7205,276.0,2.0,3722.0
0.71275,238.0,1.0,3761.0
0.6255,67.0,5.0,3928.0
0.4895,54.0,2.0,3944.0
0.50925,78.0,3.0,3919.0
0.64025,94.0,6.0,3900.0
0.461,36.0,24.0,3940.0
0.438,35.0,18.0,3947.0
0.27725,18.0,53.0,3929.0
0.301,24.0,22.0,3954.0
0.25275,40.0,16.0,3944.0
0.262,28.0,92.0,3880.0
0.3365,85.0,11.0,3904.0
0.17575,32.0,122.0,3846.0
0.2165,18.0,198.0,3784.0
0.2605,46.0,91.0,3863.0
0.08575,23.0,423.0,3554.0
0.16725,48.0,354.0,3598.0
0.11025,15.0,463.0,3522.0
0.09475,22.0,892.0,3086.0
0.0945,21.0,917.0,3062.0
0.07675,12.0,1501.0,2487.0
0.105,11.0,1392.0,2597.0
0.1035,11.0,1490.0,2499.0
0.103,10.0,1406.0,2584.0
0.093,16.0,1552.0,2432.0
0.04525,9.0,2618.0,1373.0
0.07275,15.0,1765.0,2220.0
0.05575,9.0,2567.0,1424.0
0.086,10.0,1799.0,2191.0
0.05875,7.0,2083.0,1910.0
0.08225,14.0,2091.0,1895.0
0.0715,12.0,2301.0,1687.0
0.08225,9.0,2080.0,1911.0
0.07925,13.0,2412.0,1575.0
0.05425,11.0,2304.0,1685.0
0.06575,8.0,2545.0,1447.0
0.05275,9.0,2761.0,1230.0
0.03775,8.0,2439.0,1553.0
0.05275,13.0,2424.0,1563.0
0.04025,5.0,3166.0,829.0
0.05125,15.0,2626.0,1359.0
0.03675,3.0,3203.0,794.0
0.0275,5.0,3245.0,750.0
