<c>,PC,PD,F
0.99625,3985.0,15.0,0.0
0.87625,1272.0,4.0,2724.0
0.879,1577.0,0.0,2423.0
0.90925,1223.0,4.0,2773.0
0.77475,513.0,5.0,3482.0
0.71025,245.0,1.0,3754.0
0.7705,585.0,0.0,3415.0
0.8155,728.0,1.0,3271.0
0.57125,147.0,1.0,3852.0
0.502,45.0,4.0,3951.0
0.2645,44.0,28.0,3928.0
0.3815,89.0,17.0,3894.0
0.3315,32.0,20.0,3948.0
0.26225,26.0,27.0,3947.0
0.24775,34.0,84.0,3882.0
0.19825,40.0,55.0,3905.0
0.18075,16.0,47.0,3937.0
0.2435,52.0,46.0,3902.0
0.194,22.0,264.0,3714.0
0.18775,29.0,323.0,3648.0
0.118,20.0,1125.0,2855.0
0.1355,22.0,523.0,3455.0
0.12525,21.0,721.0,3258.0
0.19775,57.0,212.0,3731.0
0.11275,18.0,826.0,3156.0
0.09775,24.0,1057.0,2919.0
0.05925,10.0,1492.0,2498.0
0.08725,9.0,1463.0,2528.0
0.1105,23.0,688.0,3289.0
0.09325,17.0,1552.0,2431.0
0.03675,8.0,2456.0,1536.0
0.072,9.0,2149.0,1842.0
0.0655,10.0,2301.0,1689.0
0.0715,21.0,1711.0,2268.0
0.05925,8.0,2550.0,1442.0
0.06175,15.0,2634.0,1351.0
0.0495,12.0,2503.0,1485.0
0.0545,17.0,2464.0,1519.0
0.085,22.0,1500.0,2478.0
0.07025,16.0,2109.0,1875.0
0.047,11.0,2713.0,1276.0
0.023,5.0,3482.0,513.0
0.05925,7.0,2406.0,1587.0
0.06225,22.0,2546.0,1432.0
0.04375,13.0,2611.0,1376.0
0.054,11.0,2666.0,1323.0
0.03125,6.0,2954.0,1040.0
0.053,6.0,2559.0,1435.0
