<c>,PC,PD,F
0.90825,1635.0,1.0,2364.0
0.86125,701.0,2.0,3297.0
0.85225,751.0,1.0,3248.0
0.82075,601.0,0.0,3399.0
0.85025,476.0,3.0,3521.0
0.744,168.0,4.0,3828.0
0.6135,193.0,4.0,3803.0
0.74825,339.0,3.0,3658.0
0.582,64.0,11.0,3925.0
0.5065,39.0,3.0,3958.0
0.37875,51.0,10.0,3939.0
0.31075,78.0,11.0,3911.0
0.3625,91.0,15.0,3894.0
0.23175,35.0,49.0,3916.0
0.33975,63.0,24.0,3913.0
0.23375,52.0,65.0,3883.0
0.22575,39.0,79.0,3882.0
0.15875,23.0,151.0,3826.0
0.1455,25.0,78.0,3897.0
0.15725,36.0,125.0,3839.0
0.155,23.0,473.0,3504.0
0.08625,21.0,743.0,3236.0
0.0995,25.0,1142.0,2833.0
0.08875,18.0,879.0,3103.0
0.09075,20.0,759.0,3221.0
0.065,14.0,1580.0,2406.0
0.07425,14.0,1288.0,2698.0
0.057,10.0,2254.0,1736.0
0.06175,16.0,2146.0,1838.0
0.03875,11.0,2615.0,1374.0
0.03075,6.0,2380.0,1614.0
0.04475,10.0,2681.0,1309.0
0.03825,7.0,2995.0,998.0
0.0635,17.0,2318.0,1665.0
0.04325,8.0,2662.0,1330.0
0.044,12.0,2825.0,1163.0
0.03925,11.0,2920.0,1069.0
0.03575,5.0,2857.0,1138.0
0.03825,6.0,2932.0,1062.0
0.03625,8.0,2831.0,1161.0
0.038,2.0,3022.0,976.0
0.02225,5.0,3452.0,543.0
0.031,5.0,3377.0,618.0
0.02125,5.0,3371.0,624.0
0.0255,5.0,3396.0,599.0
0.0175,4.0,3600.0,396.0
0.01825,2.0,3563.0,435.0
0.02975,7.0,3251.0,742.0
