<c>,PC,PD,F
0.84,1112.0,1.0,2887.0
0.7335,613.0,1.0,3386.0
0.80825,750.0,7.0,3243.0
0.67375,222.0,5.0,3773.0
0.746,301.0,5.0,3694.0
0.71775,294.0,5.0,3701.0
0.5875,90.0,9.0,3901.0
0.612,109.0,5.0,3886.0
0.47475,71.0,13.0,3916.0
0.5045,69.0,9.0,3922.0
0.244,40.0,12.0,3948.0
0.25775,28.0,45.0,3927.0
0.2425,31.0,92.0,3877.0
0.159,9.0,126.0,3865.0
0.26525,58.0,26.0,3916.0
0.19825,33.0,199.0,3768.0
0.1125,22.0,461.0,3517.0
0.15025,21.0,340.0,3639.0
0.19625,27.0,96.0,3877.0
0.12275,20.0,230.0,3750.0
0.0685,13.0,1514.0,2473.0
0.072,12.0,1449.0,2539.0
0.08075,13.0,917.0,3070.0
0.08225,21.0,1122.0,2857.0
0.0585,10.0,1435.0,2555.0
0.07525,15.0,1688.0,2297.0
0.08825,19.0,1363.0,2618.0
0.11975,36.0,858.0,3106.0
0.0635,15.0,1445.0,2540.0
0.07075,19.0,2073.0,1908.0
0.03775,6.0,2570.0,1424.0
0.06925,11.0,2074.0,1915.0
0.061,16.0,2319.0,1665.0
0.05575,12.0,2474.0,1514.0
0.041,7.0,2713.0,1280.0
0.04075,7.0,2801.0,1192.0
0.0325,5.0,3317.0,678.0
0.0335,11.0,2919.0,1070.0
0.03825,9.0,2858.0,1133.0
0.03625,6.0,2969.0,1025.0
0.03425,5.0,3298.0,697.0
0.03025,5.0,3022.0,973.0
0.02525,5.0,3327.0,668.0
0.0215,4.0,3191.0,805.0
0.02925,7.0,3153.0,840.0
0.02275,2.0,3527.0,471.0
0.02225,4.0,3436.0,560.0
0.01225,3.0,3753.0,244.0
