<c>,PC,PD,F
0.89625,1700.0,8.0,2292.0
0.8195,818.0,2.0,3180.0
0.83675,550.0,7.0,3443.0
0.88425,1462.0,4.0,2534.0
0.715,154.0,5.0,3841.0
0.655,125.0,5.0,3870.0
0.56225,156.0,10.0,3834.0
0.54825,70.0,4.0,3926.0
0.55325,135.0,5.0,3860.0
0.444,43.0,13.0,3944.0
0.3635,57.0,39.0,3904.0
0.28175,61.0,31.0,3908.0
0.3625,43.0,34.0,3923.0
0.267,38.0,37.0,3925.0
0.243,21.0,132.0,3847.0
0.183,12.0,161.0,3827.0
0.128,11.0,473.0,3516.0
0.23125,54.0,135.0,3811.0
0.18975,24.0,216.0,3760.0
0.12225,22.0,344.0,3634.0
0.07925,20.0,1062.0,2918.0
0.045,9.0,1691.0,2300.0
0.0325,6.0,1945.0,2049.0
0.0705,21.0,1486.0,2493.0
0.07925,22.0,832.0,3146.0
0.0275,4.0,2422.0,1574.0
0.03425,3.0,2431.0,1566.0
0.04925,5.0,2278.0,1717.0
0.03925,9.0,2250.0,1741.0
0.03075,5.0,2535.0,1460.0
0.027,4.0,3011.0,985.0
0.02825,4.0,3153.0,843.0
0.027,4.0,3114.0,882.0
0.03425,5.0,2893.0,1102.0
0.034,5.0,2882.0,1113.0
0.02025,2.0,3238.0,760.0
0.033,2.0,2980.0,1018.0
0.03075,4.0,3011.0,985.0
0.04225,11.0,2495.0,1494.0
0.0345,6.0,2855.0,1139.0
0.02725,4.0,3215.0,781.0
0.03525,7.0,2980.0,1013.0
0.03375,4.0,3006.0,990.0
0.02075,2.0,3277.0,721.0
0.027,6.0,3233.0,761.0
0.02025,2.0,3358.0,640.0
0.0195,2.0,3376.0,622.0
0.018,2.0,3296.0,702.0
