<c>,PC,PD,F
0.83975,868.0,1.0,3131.0
0.9145,2065.0,0.0,1935.0
0.7505,326.0,2.0,3672.0
0.8055,345.0,1.0,3654.0
0.67425,123.0,2.0,3875.0
0.64575,153.0,1.0,3846.0
0.67875,251.0,3.0,3746.0
0.6125,63.0,4.0,3933.0
0.68675,63.0,5.0,3932.0
0.6185,114.0,2.0,3884.0
0.4205,25.0,9.0,3966.0
0.4675,75.0,9.0,3916.0
0.2665,23.0,119.0,3858.0
0.308,29.0,60.0,3911.0
0.2855,41.0,39.0,3920.0
0.338,23.0,45.0,3932.0
0.29225,38.0,205.0,3757.0
0.16075,25.0,119.0,3856.0
0.2505,24.0,110.0,3866.0
0.27025,30.0,126.0,3844.0
0.12175,28.0,752.0,3220.0
0.10775,24.0,904.0,3072.0
0.1755,49.0,515.0,3436.0
0.109,23.0,903.0,3074.0
0.12,22.0,1181.0,2797.0
0.13375,28.0,793.0,3179.0
0.1025,25.0,1030.0,2945.0
0.10275,24.0,1149.0,2827.0
0.0725,14.0,2162.0,1824.0
0.10875,21.0,1190.0,2789.0
0.064,17.0,1672.0,2311.0
0.078,22.0,2219.0,1759.0
0.09025,23.0,1635.0,2342.0
0.048,11.0,2364.0,1625.0
0.04975,7.0,2787.0,1206.0
0.07325,15.0,2053.0,1932.0
0.044,6.0,2763.0,1231.0
0.055,10.0,2287.0,1703.0
0.064,18.0,2460.0,1522.0
0.081,12.0,2546.0,1442.0
0.078,12.0,2415.0,1573.0
0.04625,11.0,2894.0,1095.0
0.0705,19.0,2413.0,1568.0
0.06275,15.0,2394.0,1591.0
0.05075,14.0,2748.0,1238.0
0.062,10.0,2531.0,1459.0
0.0525,15.0,2764.0,1221.0
0.053,6.0,2918.0,1076.0
