<c>,PC,PD,F
0.9975,3990.0,10.0,0.0
0.994,3851.0,0.0,149.0
0.91925,2195.0,1.0,1804.0
0.95425,2728.0,0.0,1272.0
0.87475,1099.0,1.0,2900.0
0.66625,387.0,5.0,3608.0
0.7995,824.0,1.0,3175.0
0.5795,86.0,3.0,3911.0
0.561,206.0,1.0,3793.0
0.65,146.0,6.0,3848.0
0.505,232.0,3.0,3765.0
0.59225,221.0,2.0,3777.0
0.54025,183.0,6.0,3811.0
0.432,100.0,20.0,3880.0
0.354,49.0,31.0,3920.0
0.32825,103.0,23.0,3874.0
0.28725,51.0,50.0,3899.0
0.31025,71.0,57.0,3872.0
0.2695,62.0,76.0,3862.0
0.2685,47.0,78.0,3875.0
0.10625,18.0,549.0,3433.0
0.1485,21.0,557.0,3422.0
0.121,29.0,627.0,3344.0
0.11775,22.0,987.0,2991.0
0.09125,18.0,1080.0,2902.0
0.1265,28.0,1054.0,2918.0
0.1055,20.0,998.0,2982.0
0.07225,7.0,1072.0,2921.0
0.096,16.0,1136.0,2848.0
0.06975,8.0,1981.0,2011.0
0.05525,8.0,2270.0,1722.0
0.0795,18.0,1806.0,2176.0
0.042,10.0,2606.0,1384.0
0.04925,13.0,2579.0,1408.0
0.04525,6.0,2713.0,1281.0
0.06425,11.0,2318.0,1671.0
0.049,3.0,2973.0,1024.0
0.04625,8.0,3007.0,985.0
0.04475,7.0,2815.0,1178.0
0.054,10.0,2548.0,1442.0
0.04075,4.0,3115.0,881.0
0.048,5.0,2911.0,1084.0
0.04,6.0,3186.0,808.0
0.0235,2.0,3358.0,640.0
0.03675,5.0,2874.0,1121.0
0.04775,5.0,3003.0,992.0
0.03225,2.0,3294.0,704.0
0.05,4.0,3050.0,946.0
