<c>,PC,PD,F
0.97975,3919.0,81.0,0.0
0.97875,3909.0,73.0,18.0
0.921,628.0,75.0,3297.0
0.665,74.0,75.0,3851.0
0.3945,57.0,75.0,3868.0
0.04875,56.0,2087.0,1857.0
0.05775,57.0,2388.0,1555.0
0.05775,53.0,2203.0,1744.0
0.04825,61.0,2672.0,1267.0
0.06475,65.0,2603.0,1332.0
0.01175,47.0,3953.0,0.0
0.01175,47.0,3953.0,0.0
0.01175,47.0,3953.0,0.0
