<c>,PC,PD,F
0.71475,351.0,10.0,3639.0
0.79625,293.0,3.0,3704.0
0.7125,179.0,10.0,3811.0
0.717,141.0,7.0,3852.0
0.6535,88.0,12.0,3900.0
0.49825,90.0,15.0,3895.0
0.506,71.0,10.0,3919.0
0.5365,69.0,12.0,3919.0
0.534,114.0,9.0,3877.0
0.46175,59.0,22.0,3919.0
0.21475,26.0,98.0,3876.0
0.29075,51.0,48.0,3901.0
0.3295,22.0,124.0,3854.0
0.2505,25.0,188.0,3787.0
0.30025,39.0,53.0,3908.0
0.1945,21.0,290.0,3689.0
0.172,11.0,354.0,3635.0
0.2185,16.0,200.0,3784.0
0.15925,15.0,218.0,3767.0
0.12025,10.0,455.0,3535.0
0.07275,10.0,1576.0,2414.0
0.128,18.0,417.0,3565.0
0.084,12.0,1139.0,2849.0
0.0535,8.0,2204.0,1788.0
0.0905,12.0,1246.0,2742.0
0.07525,13.0,1728.0,2259.0
0.06,12.0,2009.0,1979.0
0.04,10.0,2380.0,1610.0
0.044,11.0,2351.0,1638.0
0.05575,18.0,2266.0,1716.0
0.04025,5.0,2765.0,1230.0
0.034,7.0,3029.0,964.0
0.04075,9.0,2658.0,1333.0
0.02625,3.0,3288.0,709.0
0.03525,7.0,2912.0,1081.0
0.02875,3.0,3173.0,824.0
0.0345,6.0,2953.0,1041.0
0.02675,3.0,3317.0,680.0
0.02575,7.0,3309.0,684.0
0.03225,6.0,2955.0,1039.0
0.03825,7.0,3010.0,983.0
0.03225,9.0,2666.0,1325.0
0.02875,4.0,3227.0,769.0
0.03,2.0,3155.0,843.0
0.03075,5.0,3196.0,799.0
0.028,6.0,3223.0,771.0
0.0335,8.0,3185.0,807.0
0.0295,9.0,3180.0,811.0
