<c>,PC,PD,F
0.99775,3991.0,9.0,0.0
0.93875,1732.0,1.0,2267.0
0.91275,1615.0,0.0,2385.0
0.704,484.0,0.0,3516.0
0.74175,418.0,0.0,3582.0
0.70175,399.0,2.0,3599.0
0.70825,263.0,0.0,3737.0
0.702,109.0,4.0,3887.0
0.69925,199.0,6.0,3795.0
0.65325,217.0,9.0,3774.0
0.453,83.0,15.0,3902.0
0.41375,67.0,15.0,3918.0
0.38675,139.0,5.0,3856.0
0.40825,100.0,6.0,3894.0
0.32725,73.0,8.0,3919.0
0.314,78.0,30.0,3892.0
0.263,69.0,58.0,3873.0
0.23575,43.0,52.0,3905.0
0.2475,66.0,118.0,3816.0
0.22725,50.0,106.0,3844.0
0.14925,47.0,309.0,3644.0
0.088,18.0,882.0,3100.0
0.15875,37.0,503.0,3460.0
0.0805,13.0,1218.0,2769.0
0.1015,23.0,1054.0,2923.0
0.08775,27.0,1185.0,2788.0
0.11675,21.0,701.0,3278.0
0.1015,24.0,1492.0,2484.0
0.07225,22.0,1359.0,2619.0
0.1065,21.0,1476.0,2503.0
0.062,13.0,2133.0,1854.0
0.05875,18.0,2054.0,1928.0
0.06325,9.0,2108.0,1883.0
0.0655,14.0,2015.0,1971.0
0.03625,8.0,2962.0,1030.0
0.07025,17.0,2156.0,1827.0
0.0535,8.0,2662.0,1330.0
0.058,13.0,2301.0,1686.0
0.05675,14.0,2454.0,1532.0
0.048,6.0,2657.0,1337.0
0.044,10.0,2904.0,1086.0
0.0525,13.0,2641.0,1346.0
0.045,11.0,2846.0,1143.0
0.04225,11.0,2742.0,1247.0
0.04775,11.0,2989.0,1000.0
0.0445,9.0,2983.0,1008.0
0.04275,11.0,2944.0,1045.0
0.03875,7.0,3151.0,842.0
