<c>,PC,PD,F
0.86025,1895.0,3.0,2102.0
0.8205,740.0,1.0,3259.0
0.90475,1300.0,0.0,2700.0
0.9965,3898.0,0.0,102.0
0.892,1027.0,3.0,2970.0
0.7425,415.0,1.0,3584.0
0.6,163.0,3.0,3834.0
0.6505,83.0,7.0,3910.0
0.669,256.0,4.0,3740.0
0.52225,77.0,15.0,3908.0
0.36325,65.0,28.0,3907.0
0.36825,68.0,18.0,3914.0
0.27375,69.0,4.0,3927.0
0.286,32.0,22.0,3946.0
0.3065,46.0,27.0,3927.0
0.223,36.0,81.0,3883.0
0.22575,41.0,70.0,3889.0
0.24425,51.0,62.0,3887.0
0.20625,28.0,209.0,3763.0
0.196,30.0,96.0,3874.0
0.12325,21.0,673.0,3306.0
0.1265,38.0,777.0,3185.0
0.10475,17.0,971.0,3012.0
0.08,14.0,1057.0,2929.0
0.08425,18.0,927.0,3055.0
0.06975,21.0,1011.0,2968.0
0.08275,14.0,1413.0,2573.0
0.07825,13.0,1089.0,2898.0
0.092,19.0,1493.0,2488.0
0.0775,13.0,1737.0,2250.0
0.076,26.0,2122.0,1852.0
0.06725,21.0,1847.0,2132.0
0.08675,23.0,1768.0,2209.0
0.05875,11.0,2516.0,1473.0
0.044,12.0,2903.0,1085.0
0.061,9.0,2402.0,1589.0
0.08425,15.0,2245.0,1740.0
0.05225,10.0,2526.0,1464.0
0.057,13.0,2245.0,1742.0
0.0715,7.0,2310.0,1683.0
0.04575,13.0,2933.0,1054.0
0.047,8.0,2695.0,1297.0
0.037,8.0,3068.0,924.0
0.045,7.0,2780.0,1213.0
0.04825,11.0,2651.0,1338.0
0.049,5.0,2798.0,1197.0
0.0705,11.0,2592.0,1397.0
0.0355,7.0,3146.0,847.0
