<c>,PC,PD,F
0.98625,3855.0,12.0,133.0
1.0,4000.0,0.0,0.0
0.926,2082.0,0.0,1918.0
0.921,2370.0,0.0,1630.0
0.8175,461.0,2.0,3537.0
0.878,1449.0,0.0,2551.0
0.661,271.0,0.0,3729.0
0.747,486.0,1.0,3513.0
0.62075,286.0,2.0,3712.0
0.7995,578.0,2.0,3420.0
0.47775,125.0,3.0,3872.0
0.5275,169.0,5.0,3826.0
0.3345,74.0,6.0,3920.0
0.3955,121.0,9.0,3870.0
0.524,185.0,5.0,3810.0
0.316,56.0,14.0,3930.0
0.27675,65.0,22.0,3913.0
0.214,34.0,47.0,3919.0
0.309,89.0,36.0,3875.0
0.19975,27.0,177.0,3796.0
0.12475,37.0,436.0,3527.0
0.155,35.0,441.0,3524.0
0.15575,39.0,373.0,3588.0
0.09925,23.0,910.0,3067.0
0.14925,33.0,818.0,3149.0
0.0905,25.0,1047.0,2928.0
0.135,42.0,573.0,3385.0
0.10025,25.0,1055.0,2920.0
0.06425,14.0,1881.0,2105.0
0.139,17.0,1106.0,2877.0
0.089,23.0,1178.0,2799.0
0.0785,16.0,1957.0,2027.0
0.06725,15.0,1914.0,2071.0
0.0515,10.0,1894.0,2096.0
0.06075,10.0,2166.0,1824.0
0.05975,20.0,1917.0,2063.0
0.06125,11.0,2109.0,1880.0
0.06225,19.0,2054.0,1927.0
0.09475,18.0,1879.0,2103.0
0.074,11.0,1953.0,2036.0
0.04225,10.0,2774.0,1216.0
0.0385,7.0,2635.0,1358.0
0.0475,10.0,2717.0,1273.0
0.04875,10.0,2458.0,1532.0
0.04375,13.0,2543.0,1444.0
0.05225,8.0,2643.0,1349.0
0.0535,10.0,2519.0,1471.0
0.0415,7.0,2992.0,1001.0
