<c>,PC,PD,F
0.9755,3653.0,7.0,340.0
0.96475,3044.0,1.0,955.0
0.884,1380.0,0.0,2620.0
0.97775,3539.0,3.0,458.0
0.85075,1157.0,5.0,2838.0
0.85075,591.0,5.0,3404.0
0.768,657.0,3.0,3340.0
0.73025,287.0,3.0,3710.0
0.70875,387.0,4.0,3609.0
0.684,191.0,4.0,3805.0
0.52025,156.0,9.0,3835.0
0.5075,163.0,6.0,3831.0
0.56075,239.0,4.0,3757.0
0.49025,208.0,9.0,3783.0
0.4535,108.0,9.0,3883.0
0.3225,63.0,58.0,3879.0
0.3465,101.0,24.0,3875.0
0.254,33.0,42.0,3925.0
0.265,67.0,99.0,3834.0
0.2425,39.0,71.0,3890.0
0.1505,22.0,474.0,3504.0
0.20175,63.0,278.0,3659.0
0.1265,32.0,508.0,3460.0
0.2025,73.0,365.0,3562.0
0.114,29.0,679.0,3292.0
0.137,23.0,612.0,3365.0
0.1505,28.0,597.0,3375.0
0.1035,14.0,927.0,3059.0
0.15275,24.0,618.0,3358.0
0.116,24.0,1167.0,2809.0
0.088,16.0,1384.0,2600.0
0.0855,14.0,1464.0,2522.0
0.0875,14.0,1882.0,2104.0
0.0795,16.0,1704.0,2280.0
0.0795,16.0,1395.0,2589.0
0.079,22.0,1715.0,2263.0
0.07325,14.0,1983.0,2003.0
0.0685,11.0,1808.0,2181.0
0.07625,13.0,2040.0,1947.0
0.0935,25.0,1834.0,2141.0
0.05875,10.0,2254.0,1736.0
0.07325,14.0,2449.0,1537.0
0.04225,6.0,2786.0,1208.0
0.06025,9.0,2394.0,1597.0
0.07075,14.0,2279.0,1707.0
0.0545,9.0,2521.0,1470.0
0.0655,10.0,2609.0,1381.0
0.0485,6.0,2670.0,1324.0
