<c>,PC,PD,F
0.994,3960.0,12.0,28.0
1.0,4000.0,0.0,0.0
0.989,3745.0,0.0,255.0
0.959,2885.0,0.0,1115.0
0.96975,3060.0,1.0,939.0
0.9265,1994.0,1.0,2005.0
0.92,1861.0,1.0,2138.0
0.93025,2104.0,1.0,1895.0
0.79575,509.0,4.0,3487.0
0.81875,963.0,1.0,3036.0
0.664,426.0,3.0,3571.0
0.59575,316.0,6.0,3678.0
0.5175,254.0,3.0,3743.0
0.59625,283.0,5.0,3712.0
0.412,141.0,17.0,3842.0
0.40075,114.0,10.0,3876.0
0.45475,126.0,7.0,3867.0
0.4045,118.0,10.0,3872.0
0.388,102.0,27.0,3871.0
0.33325,91.0,41.0,3868.0
0.19425,67.0,220.0,3713.0
0.18875,61.0,292.0,3647.0
0.20475,46.0,295.0,3659.0
0.18175,60.0,381.0,3559.0
0.174,44.0,442.0,3514.0
0.181,33.0,470.0,3497.0
0.18325,41.0,469.0,3490.0
0.15325,40.0,512.0,3448.0
0.148,32.0,660.0,3308.0
0.13175,27.0,811.0,3162.0
0.12275,28.0,1224.0,2748.0
0.1455,34.0,993.0,2973.0
0.122,45.0,930.0,3025.0
0.117,26.0,1169.0,2805.0
0.1,24.0,1376.0,2600.0
0.134,27.0,1219.0,2754.0
0.07375,11.0,1760.0,2229.0
0.0945,29.0,1465.0,2506.0
0.08975,12.0,1731.0,2257.0
0.0995,19.0,1533.0,2448.0
0.12075,20.0,1605.0,2375.0
0.09575,24.0,1739.0,2237.0
0.07675,15.0,2067.0,1918.0
0.082,12.0,2049.0,1939.0
0.073,17.0,2199.0,1784.0
0.0765,9.0,2415.0,1576.0
0.08625,22.0,2232.0,1746.0
0.0855,18.0,2337.0,1645.0
