<c>,PC,PD,F
0.9015,1955.0,5.0,2040.0
0.88075,971.0,1.0,3028.0
0.80825,1162.0,0.0,2838.0
0.86175,639.0,1.0,3360.0
0.83,403.0,3.0,3594.0
0.74475,285.0,5.0,3710.0
0.67325,204.0,5.0,3791.0
0.5805,102.0,8.0,3890.0
0.70975,191.0,9.0,3800.0
0.54975,111.0,10.0,3879.0
0.3865,71.0,11.0,3918.0
0.3555,68.0,12.0,3920.0
0.35625,70.0,37.0,3893.0
0.455,68.0,28.0,3904.0
0.263,46.0,50.0,3904.0
0.18375,31.0,55.0,3914.0
0.2965,46.0,81.0,3873.0
0.28075,77.0,30.0,3893.0
0.22575,41.0,130.0,3829.0
0.1945,23.0,237.0,3740.0
0.0615,12.0,1368.0,2620.0
0.11825,36.0,691.0,3273.0
0.13025,21.0,596.0,3383.0
0.1015,16.0,1154.0,2830.0
0.12425,28.0,683.0,3289.0
0.1255,30.0,977.0,2993.0
0.10375,20.0,1344.0,2636.0
0.1165,29.0,1113.0,2858.0
0.106,23.0,1178.0,2799.0
0.07825,13.0,1223.0,2764.0
0.0635,10.0,2221.0,1769.0
0.06125,13.0,1992.0,1995.0
0.07575,27.0,1709.0,2264.0
0.06825,18.0,1965.0,2017.0
0.0685,17.0,2051.0,1932.0
0.0555,18.0,2004.0,1978.0
0.051,10.0,2104.0,1886.0
0.058,15.0,2262.0,1723.0
0.06575,16.0,2010.0,1974.0
0.05925,9.0,2590.0,1401.0
0.03575,7.0,3175.0,818.0
0.039,9.0,2806.0,1185.0
0.05875,8.0,2578.0,1414.0
0.0315,6.0,3111.0,883.0
0.05525,10.0,2208.0,1782.0
0.03525,9.0,3136.0,855.0
0.04075,6.0,3026.0,968.0
0.0635,16.0,2634.0,1350.0
