<c>,PC,PD,F
0.93125,2228.0,7.0,1765.0
0.86925,1369.0,2.0,2629.0
0.725,172.0,9.0,3819.0
0.706,86.0,12.0,3902.0
0.62825,157.0,3.0,3840.0
0.475,54.0,30.0,3916.0
0.5675,63.0,9.0,3928.0
0.46025,58.0,17.0,3925.0
0.4275,48.0,20.0,3932.0
0.418,31.0,15.0,3954.0
0.21775,29.0,93.0,3878.0
0.20425,38.0,117.0,3845.0
0.265,37.0,91.0,3872.0
0.20475,14.0,176.0,3810.0
0.23825,31.0,62.0,3907.0
0.18425,28.0,241.0,3731.0
0.09925,14.0,970.0,3016.0
0.1685,33.0,387.0,3580.0
0.14225,12.0,371.0,3617.0
0.15625,18.0,383.0,3599.0
0.09,13.0,1442.0,2545.0
0.07225,20.0,1387.0,2593.0
0.0795,10.0,1369.0,2621.0
0.1305,31.0,632.0,3337.0
0.08075,18.0,1567.0,2415.0
0.07125,10.0,1770.0,2220.0
0.08675,21.0,1457.0,2522.0
0.04425,9.0,2137.0,1854.0
0.076,17.0,1577.0,2406.0
0.087,12.0,1831.0,2157.0
0.04425,5.0,2969.0,1026.0
0.0325,6.0,2815.0,1179.0
0.05025,6.0,2804.0,1190.0
0.056,11.0,2648.0,1341.0
0.044,6.0,2643.0,1351.0
0.049,10.0,2672.0,1318.0
0.033,5.0,3168.0,827.0
0.046,5.0,2997.0,998.0
0.04625,9.0,2614.0,1377.0
0.0515,9.0,2696.0,1295.0
0.02875,5.0,3310.0,685.0
0.033,7.0,3244.0,749.0
0.02025,5.0,3411.0,584.0
0.0335,4.0,3312.0,684.0
0.0325,5.0,3300.0,695.0
0.02275,4.0,3509.0,487.0
0.01475,3.0,3646.0,351.0
0.03825,9.0,3162.0,829.0
