<c>,PC,PD,F
0.9975,3990.0,10.0,0.0
0.964,3489.0,1.0,510.0
0.99275,3839.0,1.0,160.0
0.94525,2444.0,2.0,1554.0
0.95275,2419.0,4.0,1577.0
0.798,935.0,2.0,3063.0
0.93075,1424.0,2.0,2574.0
0.87525,893.0,2.0,3105.0
0.62875,213.0,1.0,3786.0
0.6725,140.0,5.0,3855.0
0.58325,333.0,5.0,3662.0
0.41375,158.0,1.0,3841.0
0.558,202.0,5.0,3793.0
0.54525,119.0,9.0,3872.0
0.43275,64.0,11.0,3925.0
0.3385,45.0,25.0,3930.0
0.306,36.0,99.0,3865.0
0.32225,34.0,27.0,3939.0
0.27875,68.0,31.0,3901.0
0.30625,42.0,72.0,3886.0
0.15675,35.0,381.0,3584.0
0.172,44.0,351.0,3605.0
0.201,36.0,239.0,3725.0
0.19375,32.0,379.0,3589.0
0.17,45.0,347.0,3608.0
0.12675,37.0,496.0,3467.0
0.09925,26.0,758.0,3216.0
0.08375,20.0,959.0,3021.0
0.11675,20.0,801.0,3179.0
0.10625,24.0,1142.0,2834.0
0.083,13.0,1891.0,2096.0
0.11025,23.0,1180.0,2797.0
0.095,25.0,1727.0,2248.0
0.09325,19.0,1523.0,2458.0
0.089,18.0,1674.0,2308.0
0.077,27.0,1803.0,2170.0
0.085,19.0,1946.0,2035.0
0.07875,11.0,1755.0,2234.0
0.072,10.0,2275.0,1715.0
0.064,13.0,2150.0,1837.0
0.0555,8.0,2678.0,1314.0
0.07425,20.0,2241.0,1739.0
0.0725,16.0,2393.0,1591.0
0.06575,18.0,2429.0,1553.0
0.05425,9.0,2519.0,1472.0
0.07075,18.0,2358.0,1624.0
0.05825,7.0,2568.0,1425.0
0.033,4.0,3317.0,679.0
