<c>,PC,PD,F
0.80075,741.0,1.0,3258.0
0.88925,1157.0,1.0,2842.0
0.797,644.0,1.0,3355.0
0.89525,1480.0,0.0,2520.0
0.656,170.0,1.0,3829.0
0.728,348.0,4.0,3648.0
0.73675,230.0,1.0,3769.0
0.52175,163.0,1.0,3836.0
0.728,352.0,1.0,3647.0
0.65625,102.0,1.0,3897.0
0.4715,137.0,8.0,3855.0
0.34075,77.0,40.0,3883.0
0.3315,60.0,7.0,3933.0
0.34275,77.0,9.0,3914.0
0.37425,71.0,4.0,3925.0
0.21225,47.0,55.0,3898.0
0.20975,29.0,77.0,3894.0
0.20575,26.0,223.0,3751.0
0.20925,57.0,27.0,3916.0
0.1855,39.0,64.0,3897.0
0.17625,45.0,241.0,3714.0
0.1115,34.0,761.0,3205.0
0.106,20.0,1092.0,2888.0
0.11025,20.0,407.0,3573.0
0.095,24.0,591.0,3385.0
0.09675,34.0,981.0,2985.0
0.07275,16.0,1979.0,2005.0
0.1285,30.0,647.0,3323.0
0.0945,21.0,1218.0,2761.0
0.09625,21.0,1098.0,2881.0
0.0435,15.0,2388.0,1597.0
0.0515,13.0,2363.0,1624.0
0.06575,17.0,2164.0,1819.0
0.048,13.0,2615.0,1372.0
0.082,27.0,2210.0,1763.0
0.057,15.0,2332.0,1653.0
0.062,12.0,2046.0,1942.0
0.0675,19.0,1609.0,2372.0
0.06775,22.0,1830.0,2148.0
0.05375,14.0,2658.0,1328.0
0.049,16.0,2850.0,1134.0
0.0925,28.0,1999.0,1973.0
0.07075,15.0,2276.0,1709.0
0.06325,18.0,2358.0,1624.0
0.053,15.0,2799.0,1186.0
0.046,11.0,2795.0,1194.0
0.0505,14.0,2849.0,1137.0
0.04575,17.0,2922.0,1061.0
