<c>,PC,PD,F
0.8165,719.0,0.0,3281.0
0.87725,804.0,4.0,3192.0
0.759,268.0,7.0,3725.0
0.7155,185.0,9.0,3806.0
0.697,138.0,9.0,3853.0
0.656,139.0,8.0,3853.0
0.59575,78.0,9.0,3913.0
0.5275,71.0,8.0,3921.0
0.549,80.0,10.0,3910.0
0.49625,47.0,12.0,3941.0
0.26775,43.0,56.0,3901.0
0.38425,50.0,71.0,3879.0
0.24175,37.0,62.0,3901.0
0.26325,45.0,110.0,3845.0
0.24875,34.0,99.0,3867.0
0.21225,24.0,264.0,3712.0
0.22275,22.0,397.0,3581.0
0.17525,33.0,308.0,3659.0
0.161,24.0,173.0,3803.0
0.20825,43.0,360.0,3597.0
0.0705,24.0,1918.0,2058.0
0.10475,19.0,1002.0,2979.0
0.08075,28.0,1540.0,2432.0
0.074,20.0,1587.0,2393.0
0.06725,20.0,1838.0,2142.0
0.062,14.0,1812.0,2174.0
0.08575,11.0,1886.0,2103.0
0.06225,20.0,1899.0,2081.0
0.0685,15.0,2387.0,1598.0
0.05725,14.0,2264.0,1722.0
0.028,8.0,3175.0,817.0
0.03925,11.0,2617.0,1372.0
0.0475,17.0,2676.0,1307.0
0.03425,11.0,3007.0,982.0
0.04,8.0,2940.0,1052.0
0.041,11.0,2698.0,1291.0
0.03325,8.0,3090.0,902.0
0.02925,8.0,3067.0,925.0
0.0435,13.0,2799.0,1188.0
0.05025,19.0,2698.0,1283.0
0.0395,15.0,2948.0,1037.0
0.03525,8.0,3241.0,751.0
0.03375,11.0,3175.0,814.0
0.02725,8.0,3286.0,706.0
0.03825,8.0,2904.0,1088.0
0.036,11.0,2748.0,1241.0
0.02775,8.0,3273.0,719.0
0.03775,11.0,3086.0,903.0
