<c>,PC,PD,F
0.9095,1909.0,2.0,2089.0
0.9075,1571.0,0.0,2429.0
0.97275,3352.0,0.0,648.0
0.87575,1827.0,0.0,2173.0
0.881,638.0,3.0,3359.0
0.81275,926.0,0.0,3074.0
0.78575,621.0,0.0,3379.0
0.701,640.0,0.0,3360.0
0.725,421.0,0.0,3579.0
0.60125,189.0,7.0,3804.0
0.59825,322.0,1.0,3677.0
0.4595,136.0,10.0,3854.0
0.4605,72.0,14.0,3914.0
0.391,67.0,22.0,3911.0
0.329,63.0,12.0,3925.0
0.29,64.0,20.0,3916.0
0.35475,76.0,35.0,3889.0
0.28825,71.0,18.0,3911.0
0.30275,48.0,57.0,3895.0
0.32875,128.0,17.0,3855.0
0.1615,40.0,382.0,3578.0
0.16675,40.0,373.0,3587.0
0.16525,33.0,609.0,3358.0
0.1305,28.0,589.0,3383.0
0.175,29.0,575.0,3396.0
0.15625,30.0,638.0,3332.0
0.15775,27.0,799.0,3174.0
0.16025,27.0,818.0,3155.0
0.13375,19.0,841.0,3140.0
0.137,23.0,625.0,3352.0
0.09775,26.0,1175.0,2799.0
0.1275,27.0,1203.0,2770.0
0.1225,33.0,1187.0,2780.0
0.10575,32.0,1529.0,2439.0
0.10275,27.0,1666.0,2307.0
0.118,33.0,1190.0,2777.0
0.119,34.0,1144.0,2822.0
0.09,16.0,1909.0,2075.0
0.10675,17.0,1643.0,2340.0
0.09125,30.0,1460.0,2510.0
0.09325,19.0,1783.0,2198.0
0.09,13.0,2142.0,1845.0
0.06825,10.0,2257.0,1733.0
0.07975,13.0,2303.0,1684.0
0.0935,22.0,2176.0,1802.0
0.07225,13.0,2182.0,1805.0
0.091,21.0,2250.0,1729.0
0.0735,12.0,2350.0,1638.0
