<c>,PC,PD,F
0.95025,2634.0,8.0,1358.0
0.76125,314.0,4.0,3682.0
0.7415,154.0,10.0,3836.0
0.75975,493.0,1.0,3506.0
0.804,534.0,4.0,3462.0
0.6875,327.0,8.0,3665.0
0.55875,112.0,11.0,3877.0
0.49975,102.0,2.0,3896.0
0.499,87.0,16.0,3897.0
0.5765,210.0,1.0,3789.0
0.2615,44.0,22.0,3934.0
0.23625,38.0,10.0,3952.0
0.1925,35.0,101.0,3864.0
0.19525,28.0,192.0,3780.0
0.1775,37.0,137.0,3826.0
0.174,20.0,337.0,3643.0
0.14125,15.0,405.0,3580.0
0.16625,19.0,179.0,3802.0
0.123,12.0,389.0,3599.0
0.12375,22.0,685.0,3293.0
0.0885,10.0,1101.0,2889.0
0.0705,8.0,1841.0,2151.0
0.0825,21.0,910.0,3069.0
0.10375,22.0,883.0,3095.0
0.09575,29.0,705.0,3266.0
0.091,21.0,1317.0,2662.0
0.05975,17.0,1090.0,2893.0
0.0405,9.0,1717.0,2274.0
0.056,10.0,2003.0,1987.0
0.057,13.0,1964.0,2023.0
0.057,12.0,2117.0,1871.0
0.022,7.0,3044.0,949.0
0.02475,4.0,2833.0,1163.0
0.03925,11.0,2471.0,1518.0
0.02825,7.0,3191.0,802.0
0.038,7.0,2668.0,1325.0
0.02625,3.0,2560.0,1437.0
0.02975,6.0,2409.0,1585.0
0.042,9.0,2994.0,997.0
0.0265,6.0,3050.0,944.0
0.046,9.0,2929.0,1062.0
0.02275,5.0,3496.0,499.0
0.01925,3.0,3172.0,825.0
0.035,9.0,3061.0,930.0
0.014,2.0,3722.0,276.0
0.0155,5.0,3641.0,354.0
0.038,8.0,2890.0,1102.0
0.0215,6.0,3482.0,512.0
