<c>,PC,PD,F
0.9095,2519.0,4.0,1477.0
0.997,3974.0,0.0,26.0
1.0,4000.0,0.0,0.0
0.965,2564.0,1.0,1435.0
0.875,1286.0,1.0,2713.0
0.70125,655.0,0.0,3345.0
0.8195,881.0,0.0,3119.0
0.6745,249.0,1.0,3750.0
0.6525,198.0,1.0,3801.0
0.67375,346.0,1.0,3653.0
0.5575,232.0,3.0,3765.0
0.429,97.0,11.0,3892.0
0.4855,114.0,4.0,3882.0
0.321,57.0,33.0,3910.0
0.47825,118.0,6.0,3876.0
0.27,55.0,41.0,3904.0
0.35175,104.0,18.0,3878.0
0.338,54.0,32.0,3914.0
0.2465,32.0,93.0,3875.0
0.2325,56.0,59.0,3885.0
0.182,28.0,505.0,3467.0
0.14925,50.0,327.0,3623.0
0.1325,30.0,538.0,3432.0
0.11625,19.0,684.0,3297.0
0.1085,25.0,873.0,3102.0
0.13425,28.0,648.0,3324.0
0.0825,17.0,971.0,3012.0
0.11275,27.0,870.0,3103.0
0.12,29.0,783.0,3188.0
0.114,28.0,960.0,3012.0
0.10625,32.0,1274.0,2694.0
0.09525,27.0,1486.0,2487.0
0.0625,13.0,1688.0,2299.0
0.05975,10.0,1882.0,2108.0
0.0605,15.0,2246.0,1739.0
0.09825,24.0,1552.0,2424.0
0.06225,17.0,1698.0,2285.0
0.0525,9.0,2477.0,1514.0
0.07125,12.0,2029.0,1959.0
0.06525,10.0,2170.0,1820.0
0.04475,13.0,2698.0,1289.0
0.04725,9.0,2457.0,1534.0
0.0645,12.0,2532.0,1456.0
0.05125,14.0,2763.0,1223.0
0.049,11.0,2843.0,1146.0
0.063,16.0,2376.0,1608.0
0.04175,12.0,3031.0,957.0
0.05375,8.0,2672.0,1320.0
