<c>,PC,PD,F
0.9895,3760.0,11.0,229.0
0.814,795.0,0.0,3205.0
0.82975,1083.0,1.0,2916.0
0.785,476.0,4.0,3520.0
0.72375,480.0,2.0,3518.0
0.58075,145.0,8.0,3847.0
0.48875,113.0,8.0,3879.0
0.59525,168.0,8.0,3824.0
0.544,86.0,3.0,3911.0
0.392,41.0,15.0,3944.0
0.29525,65.0,47.0,3888.0
0.3505,109.0,8.0,3883.0
0.283,56.0,17.0,3927.0
0.2435,50.0,12.0,3938.0
0.1125,18.0,46.0,3936.0
0.2285,61.0,103.0,3836.0
0.161,34.0,327.0,3639.0
0.2845,80.0,32.0,3888.0
0.20125,19.0,205.0,3776.0
0.203,45.0,138.0,3817.0
0.095,26.0,1018.0,2956.0
0.12775,26.0,898.0,3076.0
0.0855,25.0,1004.0,2971.0
0.1315,36.0,684.0,3280.0
0.0875,26.0,867.0,3107.0
0.12725,30.0,690.0,3280.0
0.08,8.0,1544.0,2448.0
0.09475,20.0,903.0,3077.0
0.053,14.0,1733.0,2253.0
0.074,10.0,1901.0,2089.0
0.02675,5.0,2630.0,1365.0
0.04425,5.0,2272.0,1723.0
0.02875,5.0,3081.0,914.0
0.05175,10.0,1768.0,2222.0
0.03875,10.0,2687.0,1303.0
0.0435,9.0,2294.0,1697.0
0.0285,4.0,3142.0,854.0
0.0285,4.0,3281.0,715.0
0.02875,4.0,3134.0,862.0
0.03,3.0,2849.0,1148.0
0.02925,2.0,2952.0,1046.0
0.02875,3.0,2947.0,1050.0
0.028,6.0,3101.0,893.0
0.0215,2.0,3400.0,598.0
0.02,1.0,3459.0,540.0
0.027,3.0,3335.0,662.0
0.02225,2.0,3484.0,514.0
0.03775,3.0,2922.0,1075.0
