<c>,PC,PD,F
0.85775,642.0,3.0,3355.0
0.8445,345.0,3.0,3652.0
0.80025,147.0,2.0,3851.0
0.73325,151.0,4.0,3845.0
0.7065,102.0,3.0,3895.0
0.6675,116.0,2.0,3882.0
0.61275,93.0,6.0,3901.0
0.662,108.0,3.0,3889.0
0.5695,41.0,9.0,3950.0
0.492,34.0,6.0,3960.0
0.36225,68.0,20.0,3912.0
0.4015,50.0,19.0,3931.0
0.337,51.0,44.0,3905.0
0.294,17.0,59.0,3924.0
0.3855,22.0,75.0,3903.0
0.25325,28.0,176.0,3796.0
0.185,10.0,106.0,3884.0
0.191,25.0,151.0,3824.0
0.22375,36.0,194.0,3770.0
0.17425,31.0,196.0,3773.0
0.0915,10.0,1390.0,2600.0
0.10225,19.0,1345.0,2636.0
0.08625,12.0,1127.0,2861.0
0.081,15.0,1728.0,2257.0
0.09525,23.0,1160.0,2817.0
0.053,9.0,2029.0,1962.0
0.07125,17.0,2034.0,1949.0
0.068,19.0,1323.0,2658.0
0.06,12.0,2157.0,1831.0
0.065,16.0,2203.0,1781.0
0.0595,14.0,2496.0,1490.0
0.05475,13.0,2564.0,1423.0
0.0665,10.0,2552.0,1438.0
0.0505,17.0,2915.0,1068.0
0.04775,10.0,2815.0,1175.0
0.05025,7.0,2507.0,1486.0
0.05775,14.0,2790.0,1196.0
0.04125,8.0,2652.0,1340.0
0.0445,8.0,3001.0,991.0
0.048,13.0,2973.0,1014.0
0.03775,10.0,3212.0,778.0
0.0415,11.0,3142.0,847.0
0.034,5.0,3262.0,733.0
0.04375,13.0,2790.0,1197.0
0.0355,10.0,3297.0,693.0
0.03225,8.0,3323.0,669.0
0.036,8.0,3015.0,977.0
0.03525,10.0,3107.0,883.0
