<c>,PC,PD,F
0.77875,503.0,0.0,3497.0
0.71975,143.0,4.0,3853.0
0.766,147.0,2.0,3851.0
0.8505,405.0,0.0,3595.0
0.6965,327.0,2.0,3671.0
0.534,40.0,6.0,3954.0
0.497,26.0,4.0,3970.0
0.49025,35.0,6.0,3959.0
0.3535,20.0,20.0,3960.0
0.52175,86.0,3.0,3911.0
0.17875,10.0,95.0,3895.0
0.2175,18.0,22.0,3960.0
0.22625,21.0,56.0,3923.0
0.1855,13.0,232.0,3755.0
0.18425,20.0,86.0,3894.0
0.108,18.0,78.0,3904.0
0.07725,6.0,390.0,3604.0
0.0935,10.0,310.0,3680.0
0.09375,8.0,1061.0,2931.0
0.13325,15.0,205.0,3780.0
0.02525,3.0,2271.0,1726.0
0.03625,5.0,2612.0,1383.0
0.05275,7.0,1882.0,2111.0
0.016,2.0,3048.0,950.0
0.04525,6.0,1812.0,2182.0
0.0185,2.0,3138.0,860.0
0.017,3.0,2720.0,1277.0
0.022,2.0,3153.0,845.0
0.02075,3.0,3268.0,729.0
0.01875,3.0,3285.0,712.0
0.01725,2.0,2931.0,1067.0
0.014,2.0,3276.0,722.0
0.03625,7.0,2490.0,1503.0
0.0145,2.0,3521.0,477.0
0.02075,3.0,3155.0,842.0
0.02125,3.0,3505.0,492.0
0.01775,2.0,3573.0,425.0
0.01575,3.0,2944.0,1053.0
0.02625,5.0,3169.0,826.0
0.0195,2.0,3545.0,453.0
0.0075,1.0,3784.0,215.0
0.018,3.0,3533.0,464.0
0.0165,2.0,3581.0,417.0
0.01925,3.0,3533.0,464.0
0.0145,3.0,3551.0,446.0
0.0165,2.0,3623.0,375.0
0.013,2.0,3666.0,332.0
0.0135,1.0,3682.0,317.0
