<c>,PC,PD,F
0.743,619.0,94.0,3287.0
0.6485,213.0,101.0,3686.0
0.61525,180.0,105.0,3715.0
0.516,98.0,119.0,3783.0
0.5275,57.0,103.0,3840.0
0.3835,52.0,125.0,3823.0
0.40175,40.0,116.0,3844.0
0.36375,43.0,122.0,3835.0
0.26,22.0,143.0,3835.0
0.29625,21.0,144.0,3835.0
0.192,26.0,352.0,3622.0
0.1875,27.0,683.0,3290.0
0.1405,17.0,684.0,3299.0
0.15825,19.0,455.0,3526.0
0.11025,18.0,856.0,3126.0
0.08425,19.0,1154.0,2827.0
0.11725,21.0,682.0,3297.0
0.0895,10.0,1076.0,2914.0
0.1115,14.0,1318.0,2668.0
0.1045,14.0,1299.0,2687.0
0.0875,12.0,1666.0,2322.0
0.07125,9.0,2162.0,1829.0
0.0505,10.0,2563.0,1427.0
0.03375,6.0,2607.0,1387.0
