<c>,PC,PD,F
0.9575,3354.0,83.0,563.0
0.9055,1884.0,71.0,2045.0
0.8085,1135.0,72.0,2793.0
0.771,480.0,76.0,3444.0
0.7585,521.0,63.0,3416.0
0.6955,305.0,78.0,3617.0
0.692,334.0,85.0,3581.0
0.6175,195.0,79.0,3726.0
0.57025,152.0,90.0,3758.0
0.52575,131.0,76.0,3793.0
0.366,111.0,212.0,3677.0
0.296,84.0,240.0,3676.0
0.2495,66.0,271.0,3663.0
0.25425,63.0,322.0,3615.0
0.2945,65.0,273.0,3662.0
0.187,41.0,444.0,3515.0
0.21275,43.0,374.0,3583.0
0.155,37.0,460.0,3503.0
0.177,56.0,496.0,3448.0
0.1335,27.0,519.0,3454.0
0.10425,26.0,1446.0,2528.0
0.09575,30.0,1504.0,2466.0
0.1115,32.0,1184.0,2784.0
0.0835,22.0,1372.0,2606.0
