<c>,PC,PD,F
0.94475,3271.0,59.0,670.0
0.9555,2475.0,43.0,1482.0
0.97625,3800.0,43.0,157.0
0.92,1897.0,44.0,2059.0
0.92675,1770.0,45.0,2185.0
0.8485,760.0,45.0,3195.0
0.8045,995.0,44.0,2961.0
0.68925,418.0,42.0,3540.0
0.61,202.0,48.0,3750.0
0.66725,355.0,44.0,3601.0
0.34525,103.0,146.0,3751.0
0.362,101.0,196.0,3703.0
0.37175,73.0,170.0,3757.0
0.3845,83.0,184.0,3733.0
0.29575,62.0,222.0,3716.0
0.24375,42.0,286.0,3672.0
0.20125,32.0,363.0,3605.0
0.17175,43.0,392.0,3565.0
0.205,50.0,434.0,3516.0
0.19,33.0,431.0,3536.0
0.13475,19.0,932.0,3049.0
0.1365,20.0,1047.0,2933.0
0.10675,24.0,1301.0,2675.0
0.1185,30.0,1099.0,2871.0
