<c>,PC,PD,F
0.9795,3893.0,65.0,42.0
0.772,536.0,67.0,3397.0
0.8155,677.0,66.0,3257.0
0.73775,186.0,75.0,3739.0
0.7145,286.0,79.0,3635.0
0.60925,122.0,77.0,3801.0
0.49225,85.0,84.0,3831.0
0.56875,114.0,84.0,3802.0
0.4615,80.0,71.0,3849.0
0.415,65.0,101.0,3834.0
0.219,46.0,291.0,3663.0
0.31775,73.0,264.0,3663.0
0.223,42.0,328.0,3630.0
0.2225,51.0,327.0,3622.0
0.20875,40.0,450.0,3510.0
0.1995,46.0,559.0,3395.0
0.1545,20.0,562.0,3418.0
0.14575,29.0,571.0,3400.0
0.15325,25.0,686.0,3289.0
0.13125,28.0,606.0,3366.0
0.11475,18.0,1293.0,2689.0
0.09375,26.0,1573.0,2401.0
0.08275,12.0,1603.0,2385.0
0.081,14.0,1771.0,2215.0
