<c>,PC,PD,F
0.98925,3957.0,43.0,0.0
0.98925,3957.0,43.0,0.0
0.98925,3957.0,43.0,0.0
0.989,3956.0,44.0,0.0
0.98925,3957.0,43.0,0.0
0.98925,3957.0,43.0,0.0
0.98375,3926.0,58.0,16.0
0.98375,3926.0,58.0,16.0
0.65725,55.0,57.0,3888.0
0.417,34.0,57.0,3909.0
0.39525,37.0,57.0,3906.0
0.092,39.0,791.0,3170.0
0.07125,35.0,1063.0,2902.0
0.03325,40.0,2051.0,1909.0
0.078,34.0,1755.0,2211.0
0.053,35.0,1668.0,2297.0
