<c>,PC,PD,F
0.04375,8.0,3054.0,938.0
0.0525,11.0,2833.0,1156.0
0.0395,8.0,3184.0,808.0
0.03325,8.0,3247.0,745.0
0.03,4.0,3423.0,573.0
0.0375,3.0,3213.0,784.0
0.0335,8.0,3072.0,920.0
0.0365,6.0,3259.0,735.0
0.04275,6.0,3214.0,780.0
0.04175,6.0,3151.0,843.0
0.025,3.0,3428.0,569.0
0.02675,6.0,3298.0,696.0
0.037,9.0,3207.0,784.0
0.02625,6.0,3368.0,626.0
0.03425,8.0,3213.0,779.0
0.04,8.0,3238.0,754.0
0.028,6.0,3399.0,595.0
