<c>,PC,PD,F
0.897,2017.0,62.0,1921.0
0.85975,991.0,46.0,2963.0
0.8455,798.0,46.0,3156.0
0.82125,741.0,56.0,3203.0
0.77525,423.0,55.0,3522.0
0.603,218.0,56.0,3726.0
0.6335,295.0,51.0,3654.0
0.569,190.0,55.0,3755.0
0.5,134.0,55.0,3811.0
0.50625,99.0,72.0,3829.0
0.2705,51.0,279.0,3670.0
0.29875,96.0,255.0,3649.0
0.2735,80.0,272.0,3648.0
0.2545,45.0,368.0,3587.0
0.23275,47.0,459.0,3494.0
0.202,49.0,411.0,3540.0
0.23575,41.0,424.0,3535.0
0.17925,32.0,645.0,3323.0
0.168,37.0,587.0,3376.0
0.162,26.0,743.0,3231.0
0.112,35.0,1217.0,2748.0
0.095,33.0,1688.0,2279.0
0.13675,40.0,1292.0,2668.0
0.094,24.0,1782.0,2194.0
