<c>,PC,PD,F
0.90625,2056.0,77.0,1867.0
0.76575,389.0,47.0,3564.0
0.656,194.0,62.0,3744.0
0.6685,167.0,52.0,3781.0
0.63925,268.0,64.0,3668.0
0.54,141.0,45.0,3814.0
0.4795,65.0,85.0,3850.0
0.465,61.0,93.0,3846.0
0.48025,78.0,59.0,3863.0
0.371,42.0,137.0,3821.0
0.294,51.0,312.0,3637.0
0.2185,28.0,405.0,3567.0
0.19875,26.0,504.0,3470.0
0.186,23.0,409.0,3568.0
0.19325,25.0,560.0,3415.0
0.1245,12.0,646.0,3342.0
0.13725,16.0,662.0,3322.0
0.09375,20.0,994.0,2986.0
0.1165,24.0,992.0,2984.0
0.12125,26.0,503.0,3471.0
0.073,19.0,1531.0,2450.0
0.07975,18.0,1788.0,2194.0
0.0755,22.0,1897.0,2081.0
0.0745,11.0,1984.0,2005.0
