<c>,PC,PD,F
0.86225,1263.0,88.0,2649.0
0.7805,671.0,76.0,3253.0
0.8025,439.0,75.0,3486.0
0.71375,262.0,79.0,3659.0
0.576,173.0,70.0,3757.0
0.5425,174.0,79.0,3747.0
0.56975,121.0,71.0,3808.0
0.55125,110.0,86.0,3804.0
0.48675,59.0,90.0,3851.0
0.43,61.0,107.0,3832.0
0.29975,56.0,219.0,3725.0
0.2685,31.0,250.0,3719.0
0.224,29.0,384.0,3587.0
0.25725,52.0,279.0,3669.0
0.22475,43.0,368.0,3589.0
0.2255,41.0,421.0,3538.0
0.2075,23.0,369.0,3608.0
0.198,30.0,459.0,3511.0
0.172,26.0,623.0,3351.0
0.12475,28.0,837.0,3135.0
0.112,22.0,1461.0,2517.0
0.11825,24.0,1455.0,2521.0
0.10275,15.0,1337.0,2648.0
0.09725,23.0,1462.0,2515.0
