<c>,PC,PD,F
0.9585,3286.0,71.0,643.0
0.95225,3140.0,51.0,809.0
0.90875,2144.0,51.0,1805.0
0.85325,1494.0,57.0,2449.0
0.866,1651.0,51.0,2298.0
0.86025,1156.0,57.0,2787.0
0.7945,801.0,58.0,3141.0
0.78525,539.0,57.0,3404.0
0.6,165.0,57.0,3778.0
0.61575,180.0,58.0,3762.0
0.38675,121.0,170.0,3709.0
0.349,100.0,186.0,3714.0
0.34325,124.0,160.0,3716.0
0.35725,89.0,209.0,3702.0
0.315,73.0,223.0,3704.0
0.26325,85.0,311.0,3604.0
0.25775,65.0,296.0,3639.0
0.264,61.0,324.0,3615.0
0.1865,69.0,442.0,3489.0
0.211,67.0,412.0,3521.0
0.17825,68.0,803.0,3129.0
0.13025,40.0,1127.0,2833.0
0.128,39.0,1093.0,2868.0
0.13,32.0,1076.0,2892.0
