<c>,PC,PD,F
0.896,2018.0,63.0,1919.0
0.9055,1537.0,44.0,2419.0
0.8895,1028.0,42.0,2930.0
0.86625,1118.0,45.0,2837.0
0.78425,637.0,45.0,3318.0
0.75625,351.0,49.0,3600.0
0.59175,206.0,46.0,3748.0
0.65575,245.0,53.0,3702.0
0.50325,94.0,53.0,3853.0
0.4495,92.0,52.0,3856.0
0.318,79.0,203.0,3718.0
0.24875,54.0,215.0,3731.0
0.25125,63.0,214.0,3723.0
0.27975,59.0,256.0,3685.0
0.268,49.0,275.0,3676.0
0.20725,47.0,441.0,3512.0
0.16925,29.0,406.0,3565.0
0.177,42.0,484.0,3474.0
0.16175,32.0,549.0,3419.0
0.16475,32.0,472.0,3496.0
0.1225,34.0,1171.0,2795.0
0.08725,26.0,1485.0,2489.0
0.12075,32.0,1191.0,2777.0
0.08625,22.0,1584.0,2394.0
