<c>,PC,PD,F
0.78725,374.0,80.0,3546.0
0.69375,244.0,72.0,3684.0
0.625,109.0,99.0,3792.0
0.53225,104.0,119.0,3777.0
0.532,67.0,120.0,3813.0
0.393,47.0,124.0,3829.0
0.4905,44.0,100.0,3856.0
0.4115,47.0,139.0,3814.0
0.33825,27.0,131.0,3842.0
0.278,25.0,138.0,3837.0
0.17,25.0,459.0,3516.0
0.16825,22.0,325.0,3653.0
0.1925,22.0,410.0,3568.0
0.15675,24.0,493.0,3483.0
0.0905,14.0,682.0,3304.0
0.1555,13.0,781.0,3206.0
0.09825,12.0,903.0,3085.0
0.12875,11.0,885.0,3104.0
0.10825,21.0,931.0,3048.0
0.15875,15.0,904.0,3081.0
0.0565,15.0,2506.0,1479.0
0.048,6.0,1743.0,2251.0
0.053,12.0,2163.0,1825.0
0.04775,10.0,2648.0,1342.0
