<c>,PC,PD,F
0.8865,991.0,76.0,2933.0
0.84725,515.0,63.0,3422.0
0.7905,397.0,63.0,3540.0
0.77375,294.0,63.0,3643.0
0.70175,228.0,76.0,3696.0
0.65975,153.0,66.0,3781.0
0.656,134.0,63.0,3803.0
0.5075,106.0,86.0,3808.0
0.4645,79.0,75.0,3846.0
0.386,60.0,71.0,3869.0
0.2995,53.0,240.0,3707.0
0.2495,33.0,285.0,3682.0
0.17875,31.0,302.0,3667.0
0.182,45.0,363.0,3592.0
0.20575,33.0,407.0,3560.0
0.15475,37.0,562.0,3401.0
0.14725,23.0,541.0,3436.0
0.173,28.0,773.0,3199.0
0.07925,22.0,875.0,3103.0
0.1625,28.0,657.0,3315.0
0.04675,17.0,2137.0,1846.0
0.0985,28.0,1595.0,2377.0
0.071,25.0,1824.0,2151.0
0.11075,23.0,1595.0,2382.0
